title,journal,year,cites,doi,authorString
Resistance to radial expansion limits muscle strain and work.,,2017,61,10.1007/s10237-017-0909-3,"Azizi E, Deslauriers AR, Holt NC, Eaton CE."
The Conformation of Myosin Heads in Relaxed Skeletal Muscle: Implications for Myosin-Based Regulation.,,2015,58,10.1016/j.bpj.2015.06.038,"Fusi L, Huang Z, Irving M."
Aberrant post-translational modifications compromise human myosin motor function in old age.,,2015,55,10.1111/acel.12307,"Li M, Ogilvie H, Ochala J, Artemenko K, Iwamoto H, Yagi N, Bergquist J, Larsson L."
The effect of lattice spacing change on cross-bridge kinetics in chemically skinned rabbit psoas muscle fibers. I. Proportionality between the lattice spacing and the fiber width.,,1993,55,10.1016/s0006-3495(93)81356-0,"Kawai M, Wray JS, Zhao Y."
Axial and radial forces of cross-bridges depend on lattice spacing.,,2010,55,10.1371/journal.pcbi.1001018,"Williams CD, Regnier M, Daniel TL."
"Osmotic compression of skinned cardiac and skeletal muscle bundles: effects on force generation, Ca2+ sensitivity and Ca2+ binding.",,1995,54,10.1016/s0022-2828(05)82385-5,"Wang YP, Fuchs F."
Small-angle X-ray scattering reveals the N-terminal domain organization of cardiac myosin binding protein C.,,2008,54,10.1016/j.jmb.2008.01.080,"Jeffries CM, Whitten AE, Harris SP, Trewhella J."
Stress-dependent activation of myosin in the heart requires thin filament activation and thick filament mechanosensing.,,2021,51,10.1073/pnas.2023706118,"Park-Holohan SJ, Brunello E, Kampourakis T, Rees M, Irving M, Fusi L."
Impact of osmotic compression on sarcomere structure and myofilament calcium sensitivity of isolated rat myocardium.,,2006,50,10.1152/ajpheart.01237.2005,"Farman GP, Walker JS, de Tombe PP, Irving TC."
Myosin head orientation: a structural determinant for the Frank-Starling relationship.,,2011,50,10.1152/ajpheart.01221.2010,"Farman GP, Gore D, Allen E, Schoenfelt K, Irving TC, de Tombe PP."
"Co-ordinated electron microscopy and X-ray studies of glycerinated insect flight muscle. I. X-ray diffraction monitoring during preparation for electron microscopy of muscle fibres fixed in rigor, in ATP and in AMPPNP.",,1983,50,10.1007/bf00711957,"Reedy MK, Goody RS, Hofmann W, Rosenbaum G."
Changes in interfilament spacing mimic the effects of myosin regulatory light chain phosphorylation in rabbit psoas fibers.,,1998,49,10.1006/jsbi.1998.3979,"Yang Z, Stull JT, Levine RJ, Sweeney HL."
A spatially explicit nanomechanical model of the half-sarcomere: myofilament compliance affects Ca(2+)-activation.,,2004,48,10.1114/b:abme.0000049039.89173.08,"Chase PB, Macpherson JM, Daniel TL."
Tropomyosin 3 expression leads to hypercontractility and attenuates myofilament length-dependent Ca(2+) activation.,,2002,48,10.1152/ajpheart.00351.2002,"Pieples K, Arteaga G, Solaro RJ, Grupp I, Lorenz JN, Boivin GP, Jagatheesan G, Labitzke E, DeTombe PP, Konhilas JP, Irving TC, Wieczorek DF."
In vivo x-ray diffraction of indirect flight muscle from Drosophila melanogaster.,,2000,48,10.1016/s0006-3495(00)76796-8,"Irving TC, Maughan DW."
Fast skeletal myosin-binding protein-C regulates fast skeletal muscle contraction.,,2021,47,10.1073/pnas.2003596118,"Song T, McNamara JW, Ma W, Landim-Vieira M, Lee KH, Martin LA, Heiny JA, Lorenz JN, Craig R, Pinto JR, Irving T, Sadayappan S."
"Cardiac troponin T, a sarcomeric AKAP, tethers protein kinase A at the myofilaments.",,2011,46,10.1074/jbc.m110.148684,"Sumandea CA, Garcia-Cazarin ML, Bozio CH, Sievert GA, Balke CW, Sumandea MP."
Knockdown of desmin in zebrafish larvae affects interfilament spacing and mechanical properties of skeletal muscle.,,2013,46,10.1085/jgp.201210915,"Li M, Andersson-Lendahl M, Sejersen T, Arner A."
Changes in thick filament structure during compression of the filament lattice in relaxed frog sartorius muscle.,,1989,46,10.1007/bf01758435,"Irving TC, Millman BM."
Regulation of myofilament force and loaded shortening by skeletal myosin binding protein C.,,2019,46,10.1085/jgp.201812200,"Robinett JC, Hanft LM, Geist J, Kontrogianni-Konstantopoulos A, McDonald KS."
Morphology and transverse stiffness of Drosophila myofibrils measured by atomic force microscopy.,,2000,45,10.1016/s0006-3495(00)76702-6,"Nyland LR, Maughan DW."
Structural and functional aspects of the myosin essential light chain in cardiac muscle contraction.,,2011,45,10.1096/fj.11-191973,"Muthu P, Wang L, Yuan CC, Kazmierczak K, Huang W, Hernandez OM, Kawai M, Irving TC, Szczesna-Cordary D."
Detection of radial crossbridge force by lattice spacing changes in intact single muscle fibers.,,1990,45,10.1126/science.2255911,"Cecchi G, Bagni MA, Griffiths PJ, Ashley CC, Maeda Y."
Characterization of radial force and radial stiffness in Ca(2+)-activated skinned fibres of the rabbit psoas muscle.,,1991,44,10.1113/jphysiol.1991.sp018774,"Brenner B, Yu LC."
"Differences in light scattering between pale and dark beef longissimus thoracis muscles are primarily caused by differences in the myofilament lattice, myofibril and muscle fibre transverse spacings.",,2019,44,10.1016/j.meatsci.2018.11.006,"Hughes J, Clarke F, Li Y, Purslow P, Warner R."
